DB00001,Lepirudin,DB01381,Ginkgo biloba
DB00001,Lepirudin,DB00374,Treprostinil
DB00004,Denileukin diftitox,DB06372,Rilonacept
DB00004,Denileukin diftitox,DB00072,Trastuzumab
DB00005,Etanercept,DB06372,Rilonacept
DB00005,Etanercept,DB08895,Tofacitinib
DB00005,Etanercept,DB00072,Trastuzumab
DB00006,Bivalirudin,DB01609,Deferasirox
DB00006,Bivalirudin,DB00441,Gemcitabine
DB00006,Bivalirudin,DB01381,Ginkgo biloba
DB00006,Bivalirudin,DB06228,Rivaroxaban
DB00006,Bivalirudin,DB00374,Treprostinil
DB00008,Peginterferon alfa-2a,DB01223,Aminophylline
DB00008,Peginterferon alfa-2a,DB00651,Dyphylline
DB00008,Peginterferon alfa-2a,DB06414,Etravirine
DB00008,Peginterferon alfa-2a,DB01303,Oxtriphylline
DB00008,Peginterferon alfa-2a,DB01265,Telbivudine
DB00008,Peginterferon alfa-2a,DB00277,Theophylline
DB00009,Alteplase,DB01381,Ginkgo biloba
DB00009,Alteplase,DB00727,Nitroglycerin
DB00009,Alteplase,DB00208,Ticlopidine
DB00011,Interferon alfa-n1,DB01223,Aminophylline
DB00011,Interferon alfa-n1,DB00651,Dyphylline
DB00011,Interferon alfa-n1,DB01303,Oxtriphylline
DB00011,Interferon alfa-n1,DB00277,Theophylline
DB00013,Urokinase,DB06692,Aprotinin
DB00013,Urokinase,DB00055,Drotrecogin alfa
DB00013,Urokinase,DB01381,Ginkgo biloba
DB00013,Urokinase,DB01404,Ginseng
DB00015,Reteplase,DB01381,Ginkgo biloba
DB00015,Reteplase,DB00208,Ticlopidine
DB00021,Secretin,DB00771,Clidinium
DB00021,Secretin,DB01409,Tiotropium
DB00021,Secretin,DB01036,Tolterodine
DB00021,Secretin,DB00376,Trihexyphenidyl
DB00021,Secretin,DB00662,Trimethobenzamide
DB00021,Secretin,DB00209,Trospium
DB00022,Peginterferon alfa-2b,DB01223,Aminophylline
DB00022,Peginterferon alfa-2b,DB00651,Dyphylline
DB00022,Peginterferon alfa-2b,DB01303,Oxtriphylline
DB00022,Peginterferon alfa-2b,DB00277,Theophylline
DB00023,Asparaginase,DB00072,Trastuzumab
DB00026,Anakinra,DB06168,Canakinumab
DB00026,Anakinra,DB08904,Certolizumab pegol
DB00026,Anakinra,DB06674,golimumab
DB00026,Anakinra,DB06372,Rilonacept
DB00026,Anakinra,DB01041,Thalidomide
DB00026,Anakinra,DB08895,Tofacitinib
DB00026,Anakinra,DB00072,Trastuzumab
DB00030,Insulin Regular ,DB06655,Liraglutide
DB00031,Tenecteplase,DB06692,Aprotinin
DB00031,Tenecteplase,DB00055,Drotrecogin alfa
DB00031,Tenecteplase,DB01381,Ginkgo biloba
DB00031,Tenecteplase,DB01404,Ginseng
DB00031,Tenecteplase,DB00208,Ticlopidine
DB00035,Desmopressin,DB01551,Dihydrocodeine
DB00038,Oprelvekin,DB01551,Dihydrocodeine
DB00039,Palifermin,DB06769,Bendamustine
DB00039,Palifermin,DB06813,Pralatrexate
DB00041,Aldesleukin,DB01013,Clobetasol propionate
DB00041,Aldesleukin,DB00838,Clocortolone
DB00041,Aldesleukin,DB01285,Corticotropin
DB00046,Insulin Lispro,DB01193,Acebutolol
DB00046,Insulin Lispro,DB00335,Atenolol
DB00046,Insulin Lispro,DB00612,Bisoprolol
DB00046,Insulin Lispro,DB01136,Carvedilol
DB00046,Insulin Lispro,DB00647,Dextropropoxyphene
DB00046,Insulin Lispro,DB00280,Disopyramide
DB00046,Insulin Lispro,DB00584,Enalapril
DB00046,Insulin Lispro,DB00668,Epinephrine
DB00046,Insulin Lispro,DB00187,Esmolol
DB00046,Insulin Lispro,DB01039,Fenofibrate
DB00046,Insulin Lispro,DB00472,Fluoxetine
DB00046,Insulin Lispro,DB00999,Hydrochlorothiazide
DB00046,Insulin Lispro,DB00678,Losartan
DB00046,Insulin Lispro,DB00104,Octreotide
DB00046,Insulin Lispro,DB00806,Pentoxifylline
DB00046,Insulin Lispro,DB01278,Pramlintide
DB00046,Insulin Lispro,DB00635,Prednisone
DB00046,Insulin Lispro,DB00178,Ramipril
DB00047,Insulin Glargine,DB01193,Acebutolol
DB00047,Insulin Glargine,DB00335,Atenolol
DB00047,Insulin Glargine,DB00195,Betaxolol
DB00047,Insulin Glargine,DB01295,Bevantolol
DB00047,Insulin Glargine,DB00612,Bisoprolol
DB00047,Insulin Glargine,DB00521,Carteolol
DB00047,Insulin Glargine,DB01136,Carvedilol
DB00047,Insulin Glargine,DB00187,Esmolol
DB00047,Insulin Glargine,DB00598,Labetalol
DB00047,Insulin Glargine,DB00264,Metoprolol
DB00047,Insulin Glargine,DB01203,Nadolol
DB00047,Insulin Glargine,DB01580,Oxprenolol
DB00047,Insulin Glargine,DB01359,Penbutolol
DB00047,Insulin Glargine,DB00960,Pindolol
DB00047,Insulin Glargine,DB01297,Practolol
DB00047,Insulin Glargine,DB00571,Propranolol
DB00047,Insulin Glargine,DB00052,Somatropin recombinant
DB00047,Insulin Glargine,DB00489,Sotalol
DB00047,Insulin Glargine,DB00373,Timolol
DB00051,Adalimumab,DB06168,Canakinumab
DB00051,Adalimumab,DB06372,Rilonacept
DB00051,Adalimumab,DB08895,Tofacitinib
DB00051,Adalimumab,DB00072,Trastuzumab
